country,Country Code,Indicator Name,Indicator Code,co2_emission
IDA & IBRD total,IBT,CO2 emissions (kt),EN.ATM.CO2E.KT,21862973.94
IDA total,IDA,CO2 emissions (kt),EN.ATM.CO2E.KT,910360.636
IDA blend,IDB,CO2 emissions (kt),EN.ATM.CO2E.KT,465301.4
Indonesia,IDN,CO2 emissions (kt),EN.ATM.CO2E.KT,563197
IDA only,IDX,CO2 emissions (kt),EN.ATM.CO2E.KT,445059.236
Isle of Man,IMN,CO2 emissions (kt),EN.ATM.CO2E.KT,
India,IND,CO2 emissions (kt),EN.ATM.CO2E.KT,2200836.3
Not classified,INX,CO2 emissions (kt),EN.ATM.CO2E.KT,
Ireland,IRL,CO2 emissions (kt),EN.ATM.CO2E.KT,33742.2
Iran,IRN,CO2 emissions (kt),EN.ATM.CO2E.KT,616561.3
Iraq,IRQ,CO2 emissions (kt),EN.ATM.CO2E.KT,163511.5
Iceland,ISL,CO2 emissions (kt),EN.ATM.CO2E.KT,1446.6
Israel,ISR,CO2 emissions (kt),EN.ATM.CO2E.KT,58471.8
Italy,ITA,CO2 emissions (kt),EN.ATM.CO2E.KT,281286.8
Jamaica,JAM,CO2 emissions (kt),EN.ATM.CO2E.KT,5835.6
Jordan,JOR,CO2 emissions (kt),EN.ATM.CO2E.KT,20974.1
Japan,JPN,CO2 emissions (kt),EN.ATM.CO2E.KT,1014064.7
Kazakhstan,KAZ,CO2 emissions (kt),EN.ATM.CO2E.KT,211896.7
Kenya,KEN,CO2 emissions (kt),EN.ATM.CO2E.KT,19446.8
Kyrgyzstan,KGZ,CO2 emissions (kt),EN.ATM.CO2E.KT,9080.1
Cambodia,KHM,CO2 emissions (kt),EN.ATM.CO2E.KT,18652.8
Kiribati,KIR,CO2 emissions (kt),EN.ATM.CO2E.KT,56.9
St. Kitts and Nevis,KNA,CO2 emissions (kt),EN.ATM.CO2E.KT,231
Korea,KOR,CO2 emissions (kt),EN.ATM.CO2E.KT,569681.8
Kuwait,KWT,CO2 emissions (kt),EN.ATM.CO2E.KT,92308.9
Latin America & Caribbean (excluding high income),LAC,CO2 emissions (kt),EN.ATM.CO2E.KT,1242200.06
Lao PDR,LAO,CO2 emissions (kt),EN.ATM.CO2E.KT,19178.9
Lebanon,LBN,CO2 emissions (kt),EN.ATM.CO2E.KT,21474.9
Liberia,LBR,CO2 emissions (kt),EN.ATM.CO2E.KT,1179.5
Libya,LBY,CO2 emissions (kt),EN.ATM.CO2E.KT,44467
St. Lucia,LCA,CO2 emissions (kt),EN.ATM.CO2E.KT,499.2
Latin America & Caribbean,LCN,CO2 emissions (kt),EN.ATM.CO2E.KT,1438080.03
Least developed countries: UN classification,LDC,CO2 emissions (kt),EN.ATM.CO2E.KT,351230.476
Low income,LIC,CO2 emissions (kt),EN.ATM.CO2E.KT,179664.936
Liechtenstein,LIE,CO2 emissions (kt),EN.ATM.CO2E.KT,141.996093
Sri Lanka,LKA,CO2 emissions (kt),EN.ATM.CO2E.KT,21846.3
Lower middle income,LMC,CO2 emissions (kt),EN.ATM.CO2E.KT,4819595.8
Low & middle income,LMY,CO2 emissions (kt),EN.ATM.CO2E.KT,21383256.24
Lesotho,LSO,CO2 emissions (kt),EN.ATM.CO2E.KT,2311.9
Late-demographic dividend,LTE,CO2 emissions (kt),EN.ATM.CO2E.KT,15488347.62
Lithuania,LTU,CO2 emissions (kt),EN.ATM.CO2E.KT,11693.8
Luxembourg,LUX,CO2 emissions (kt),EN.ATM.CO2E.KT,7853.1
Latvia,LVA,CO2 emissions (kt),EN.ATM.CO2E.KT,6928.3
"Macao SAR, China",MAC,CO2 emissions (kt),EN.ATM.CO2E.KT,
St. Martin (French part),MAF,CO2 emissions (kt),EN.ATM.CO2E.KT,
Morocco,MAR,CO2 emissions (kt),EN.ATM.CO2E.KT,66719.5
Monaco,MCO,CO2 emissions (kt),EN.ATM.CO2E.KT,
Moldova,MDA,CO2 emissions (kt),EN.ATM.CO2E.KT,8611.2
Madagascar,MDG,CO2 emissions (kt),EN.ATM.CO2E.KT,2745.45
Maldives,MDV,CO2 emissions (kt),EN.ATM.CO2E.KT,1454
Middle East & North Africa,MEA,CO2 emissions (kt),EN.ATM.CO2E.KT,2416064.9
Mexico,MEX,CO2 emissions (kt),EN.ATM.CO2E.KT,383131.4
Marshall Islands,MHL,CO2 emissions (kt),EN.ATM.CO2E.KT,110
Middle income,MIC,CO2 emissions (kt),EN.ATM.CO2E.KT,21203591.31
Macedonia,MKD,CO2 emissions (kt),EN.ATM.CO2E.KT,6796.7
Mali,MLI,CO2 emissions (kt),EN.ATM.CO2E.KT,4150.7
Malta,MLT,CO2 emissions (kt),EN.ATM.CO2E.KT,1610.7
Myanmar,MMR,CO2 emissions (kt),EN.ATM.CO2E.KT,33874.6
Middle East & North Africa (excluding high income),MNA,CO2 emissions (kt),EN.ATM.CO2E.KT,1370939
Montenegro,MNE,CO2 emissions (kt),EN.ATM.CO2E.KT,2527.2
Mongolia,MNG,CO2 emissions (kt),EN.ATM.CO2E.KT,21184.7
Northern Mariana Islands,MNP,CO2 emissions (kt),EN.ATM.CO2E.KT,
Mozambique,MOZ,CO2 emissions (kt),EN.ATM.CO2E.KT,6945.5
Mauritania,MRT,CO2 emissions (kt),EN.ATM.CO2E.KT,3847.1
Mauritius,MUS,CO2 emissions (kt),EN.ATM.CO2E.KT,3720.2
Malawi,MWI,CO2 emissions (kt),EN.ATM.CO2E.KT,1640
Malaysia,MYS,CO2 emissions (kt),EN.ATM.CO2E.KT,245139.3
North America,NAC,CO2 emissions (kt),EN.ATM.CO2E.KT,4837406.2
Namibia,NAM,CO2 emissions (kt),EN.ATM.CO2E.KT,3952.8
New Caledonia,NCL,CO2 emissions (kt),EN.ATM.CO2E.KT,
Niger,NER,CO2 emissions (kt),EN.ATM.CO2E.KT,2197.95
